From,To
A0A024R8A9,O95994
 Q99767-2,A0A024R8A9
 Q03989,A0A024R8A9
 P50553,A0A024R8A9
 O95670,A0A024R8A9
 Q8N7W2-2,A0A024R8A9
 Q6PI77,A0A024R8A9
 P55201-2,A0A024R8A9
 Q9BXJ5,A0A024R8A9
 Q96S94-5,A0A024R8A9
 O14519,A0A024R8A9
 P78358,A0A024R8A9
 Q9H0I2,A0A024R8A9
 Q99814,A0A024R8A9
 Q969F0,A0A024R8A9
 Q9C0B1-2,A0A024R8A9
 Q96D09,A0A024R8A9
 P61296-2,A0A024R8A9
 O75031,A0A024R8A9
 Q8IYA8,A0A024R8A9
 Q5VVH5,A0A024R8A9
 Q13352,A0A024R8A9
 Q9BS75,A0A024R8A9
 Q8WWY6,A0A024R8A9
 P59942,A0A024R8A9
 Q99750,A0A024R8A9
 Q6FHY5,A0A024R8A9
 Q13084,A0A024R8A9
 Q9BYU1,A0A024R8A9
 Q2I0M5,A0A024R8A9
 Q8N8I0,A0A024R8A9
 A0A286YEY3,A0A024R8A9
 P19237,A0A024R8A9
 Q96RU7,A0A024R8A9
 Q6DKK2,A0A024R8A9
 Q6PF05,A0A024R8A9
 Q9P0L0,A0A024R8A9
 O95292,A0A024R8A9
 Q5SQQ9-2,A0A024R8A9
 Q96DT7-3,A0A024R8A9
 Q68DK2-5,A0A024R8A9
 Q6P1L6,A0A024R8A9
 Q9H9D4,A0A024R8A9
 Q6ZNG0,A0A024R8A9
 P98169,A0A024R8A9
A0A024R8L2,Q9NYB9-2
 Q6UY14-3,A0A024R8L2
 Q6PI77,A0A024R8L2
 Q9H5F2,A0A024R8L2
 Q9H257-2,A0A024R8L2
 P24863,A0A024R8L2
 P38432,A0A024R8L2
 O43186,A0A024R8L2
 Q9H596,A0A024R8L2
 Q7Z444,A0A024R8L2
 Q14192,A0A024R8L2
 Q9UQC2,A0A024R8L2
 Q8TAE8,A0A024R8L2
 Q9BRX5,A0A024R8L2
 P49639,A0A024R8L2
 Q8IYA8,A0A024R8L2
 Q9UKT9,A0A024R8L2
 Q9H079,A0A024R8L2
 P48051,A0A024R8L2
 Q6ZU52,A0A024R8L2
 Q5T7B8-2,A0A024R8L2
 Q9BVG8-5,A0A024R8L2
 O43474,A0A024R8L2
 Q53G59,A0A024R8L2
 P13646,A0A024R8L2
 O76011,A0A024R8L2
 Q92764,A0A024R8L2
 O95678,A0A024R8L2
 P48059-3,A0A024R8L2
 Q5JR59-3,A0A024R8L2
 Q8TDC0,A0A024R8L2
 Q6IA69,A0A024R8L2
 Q9UI09,A0A024R8L2
 Q7Z6G3-2,A0A024R8L2
 P46934-3,A0A024R8L2
 P07196,A0A024R8L2
 Q5HYW2,A0A024R8L2
 Q6ZUT1,A0A024R8L2
 P0DPK4,A0A024R8L2
 Q6NSM0,A0A024R8L2
 P37198,A0A024R8L2
 Q9P286,A0A024R8L2
 Q96KN3,A0A024R8L2
 Q9HB20,A0A024R8L2
 Q8ND90,A0A024R8L2
 P78424,A0A024R8L2
 Q8N3J5,A0A024R8L2
 Q7Z5V6-2,A0A024R8L2
 P31321,A0A024R8L2
 P57052,A0A024R8L2
 Q15293,A0A024R8L2
 Q96D15,A0A024R8L2
 Q04864-2,A0A024R8L2
 Q9UNE2,A0A024R8L2
 Q13239-3,A0A024R8L2
 O60504,A0A024R8L2
 Q9H0A9-2,A0A024R8L2
 Q7Z698,A0A024R8L2
 Q9BWG4,A0A024R8L2
 Q99081-3,A0A024R8L2
 P15884-3,A0A024R8L2
 Q9BXU3,A0A024R8L2
 Q9UBB9,A0A024R8L2
 Q4KMQ1-2,A0A024R8L2
 Q12933,A0A024R8L2
 Q14142,A0A024R8L2
 P14373,A0A024R8L2
 Q9BYV2,A0A024R8L2
 Q9Y3Q8,A0A024R8L2
 Q9UHD9,A0A024R8L2
 A8MV65-2,A0A024R8L2
 O96006,A0A024R8L2
 Q96DT7-3,A0A024R8L2
 Q9H5J0,A0A024R8L2
 A0A0C4DGF1,A0A024R8L2
 Q96BR9,A0A024R8L2
 Q8WYQ9,A0A024R8L2
 Q8NC26,A0A024R8L2
 Q7Z4V0,A0A024R8L2
 Q6NX45,A0A024R8L2
 Q96EG3,A0A024R8L2
A0A024RCP2,P46379-2
 Q99832,A0A024RCP2
 O75190-2,A0A024RCP2
 O14645,A0A024RCP2
 P41091,A0A024RCP2
 O75460-2,A0A024RCP2
 Q0VDC6,A0A024RCP2
 P54652,A0A024RCP2
